Time, Marker
1690480.101571, CalValue:1.3583
1690480.128007, CalValue:1.3358
1690480.155165, CalValue:1.384
1690480.181547, CalValue:1.418
1690480.209005, CalValue:1.3928
1690480.235411, CalValue:1.3497
1690480.262351, CalValue:1.4017
1690480.289591, CalValue:1.4254
1690480.316398, CalValue:1.4316
1690480.342441, CalValue:1.4214
1690480.368861, CalValue:1.4539
1690480.395244, CalValue:1.4242
1690480.422711, CalValue:1.4596
1690480.449136, CalValue:1.4653
1690480.477500, CalValue:1.5094
1690480.503956, CalValue:1.5308
1690480.530362, CalValue:1.5714
1690480.556665, CalValue:1.6442
1690480.583440, CalValue:1.5963
1690480.610092, CalValue:1.5904
1690480.636375, CalValue:1.5116
1690480.662877, CalValue:1.4402
1690480.689750, CalValue:1.439
1690480.715879, CalValue:1.4458
1690480.742555, CalValue:1.5234
1690480.769700, CalValue:1.5313
1690480.795735, CalValue:1.4998
1690480.822883, CalValue:1.3241
1690480.849260, CalValue:1.2384
1690480.876334, CalValue:1.093
1690480.902722, CalValue:1.086
1690480.929334, CalValue:0.9498
1690480.955684, CalValue:0.98781
1690480.982588, CalValue:0.969
1690481.009868, CalValue:1.0395
1690481.037139, CalValue:1.0407
1690481.065171, CalValue:0.97572
1690481.097123, CalValue:0.91475
1690481.127583, CalValue:0.97575
1690481.159404, CalValue:1.0267
1690481.189859, CalValue:1.0107
1690481.215948, CalValue:0.89179
1690481.243867, CalValue:0.93585
1690481.270781, CalValue:1.0435
1690481.298091, CalValue:1.1244
1690481.328225, CalValue:1.1178
1690481.356650, CalValue:1.1109
1690481.382925, CalValue:1.2192
1690481.410162, CalValue:1.4221
1690481.436484, CalValue:1.3508
1690481.462810, CalValue:1.3482
1690481.493993, CalValue:1.3847
1690481.523484, CalValue:1.3551
1690481.550640, CalValue:1.3614
1690481.577714, CalValue:1.3776
1690481.604783, CalValue:1.3715
1690481.631124, CalValue:1.3899
1690481.658826, CalValue:1.4727
1690481.685394, CalValue:1.5243
1690481.711826, CalValue:1.5532
1690481.738296, CalValue:1.5441
1690481.764783, CalValue:1.5421
1690481.793995, CalValue:1.4963
1690481.827819, CalValue:1.5498
1690481.856820, CalValue:1.5753
1690481.883241, CalValue:1.5545
1690481.910468, CalValue:1.6239
1690481.936890, CalValue:1.5909
1690481.963091, CalValue:1.6191
1690481.993864, CalValue:1.6061
1690482.027056, CalValue:1.4877
1690482.058202, CalValue:1.5435
1690482.084833, CalValue:1.55
1690482.111367, CalValue:1.592
1690482.137818, CalValue:1.5776
1690482.164284, CalValue:1.5927
1690482.193501, CalValue:1.4545
1690482.227364, CalValue:1.4638
1690482.256633, CalValue:1.3656
1690482.283023, CalValue:1.3966
1690482.310806, CalValue:1.2704
1690482.337254, CalValue:1.2632
1690482.364370, CalValue:1.2587
1690482.393900, CalValue:1.3774
1690482.428423, CalValue:1.1512
1690482.458415, CalValue:1.1288
1690482.484975, CalValue:1.2053
1690482.511244, CalValue:0.95041
1690482.537708, CalValue:1.0027
1690482.566298, CalValue:0.92529
1690482.592878, CalValue:0.91361
1690482.626604, CalValue:0.76564
1690482.653163, CalValue:0.82395
1690482.681344, CalValue:0.88458
1690482.710588, CalValue:0.9
1690482.736974, CalValue:0.91488
1690482.763448, CalValue:0.87669
1690482.793525, CalValue:0.92779
1690482.828489, CalValue:0.94388
1690482.856606, CalValue:0.86726
1690482.882967, CalValue:0.76675
1690482.909830, CalValue:0.78643
1690482.936142, CalValue:0.72208
1690482.962563, CalValue:0.6271
1690482.993779, CalValue:0.63479
1690483.026566, CalValue:0.72167
1690483.055929, CalValue:0.69663
1690483.083234, CalValue:0.73129
1690483.110760, CalValue:0.70859
1690483.137163, CalValue:0.70932
1690483.163534, CalValue:0.7208
1690483.194647, CalValue:0.68252
1690483.226870, CalValue:0.74332
1690483.256285, CalValue:0.68505
1690483.282655, CalValue:0.68536
1690483.309807, CalValue:0.67542
1690483.336470, CalValue:0.66168
1690483.363168, CalValue:0.68647
1690483.396180, CalValue:0.73577
1690483.425295, CalValue:0.71177
1690483.452516, CalValue:0.69349
1690483.478570, CalValue:0.73992
1690483.505331, CalValue:0.80701
1690483.532074, CalValue:0.86094
1690483.559654, CalValue:0.90474
1690483.587850, CalValue:0.98732
1690483.614139, CalValue:1.0652
1690483.642941, CalValue:1.0371
1690483.670529, CalValue:0.91659
1690483.696926, CalValue:0.90843
1690483.726942, CalValue:0.8401
1690483.759138, CalValue:0.80231
1690483.788400, CalValue:0.92438
